Case,Emissions
Coal,0.8208531
Coal_CC_MEA,0.159810229
Coal_CC_oxy,0.056992596
Coal_CC_CaL,0.138097277
NG,0.755228226
NG_CC_MEA,0.203332997
NG_CC_oxy,0.101940271
NG_CC_CaL,0.172023566
Biogas,0.528164189
Biogas_CC_MEA,-0.170775787
Biogas_CC_oxy,-0.108194618
Biogas_CC_CaL,-0.058336965
BM,0.67344484
BM_CC_MEA,-0.197084712
BM_CC_oxy,-0.108446804
BM_CC_CaL,-0.041017676
MSW,0.748571275
MSW_CC_MEA,0.014047011
MSW_CC_oxy,-0.151977516
MSW_CC_CaL,-0.05579144
H2,0.710554389
H2_CC_MEA,0.262752065
H2_CC_oxy,0.140819765
H2_CC_CaL,0.209336693
Plasma_CC_oxy,0.078013147
Hybrid_CC_oxy,-0.005592408
